brand,series,model,phase,nominal_ac_power_w,max_pv_input_power_w,max_pv_voltage_v,startup_voltage_v,mppt_voltage_min_v,mppt_voltage_max_v,mppt_count,strings_per_mppt,max_input_current_per_mppt_a,max_short_circuit_current_per_mppt_a,battery_nominal_voltage_v,battery_voltage_range_v,data_status,notes,image_url,image_source_url
PowMr,POW-HVM,POW-HVM3.0KW-24V,single-phase,3000,3750,500,120,90,450,1,1,18,22,24,20-31,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.,,
PowMr,POW-HVM,POW-HVM4.2KW-24V,single-phase,4200,6200,500,,60,500,1,1,,,24,20-31,user_manual_screenshot_verified,User supplied manual screenshot: PV max 6200 W; nominal PV 240 VDC; MPPT 60-500 VDC; max PV Voc 500 VDC; grid+PV charge 120 A; CE; operating temperature -10..50 C; storage -15..60 C; dimensions 423x344x112 mm; net weight 7.2 kg. PV input current not shown in screenshot.,assets/equipment/inverters/powmr-hvm4-2kw.jpg,
PowMr,POW-HVM,POW-HVM6.2KW-48V,single-phase,6200,8000,500,,60,500,1,1,,,48,40-60,user_manual_screenshot_verified,User supplied manual screenshot: PV max 8000 W; nominal PV 360 VDC; MPPT 60-500 VDC; max PV Voc 500 VDC; grid+PV charge 120 A; CE; operating temperature -10..50 C; storage -15..60 C; dimensions 423x344x112 mm; net weight 8.2 kg. PV input current not shown in screenshot.,assets/equipment/inverters/powmr-hvm6-2kw.jpg,
PowMr,POW-HVM,POW-HVM5.5K-48V,single-phase,5500,6875,500,120,120,450,1,1,18,22,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.,,
PowMr,POW-HVM,POW-HVM5.5K-48V-LIP,single-phase,5500,6875,500,120,120,450,1,1,18,22,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.,,
PowMr,POW-HVM,POW-HVM5.5M,single-phase,5500,6875,500,120,120,450,1,1,18,22,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.,,
PowMr,POW-HPM,POW-HPM5.6KW,single-phase,5600,7000,500,120,120,450,1,1,18,22,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.,,
PowMr,POW-SunSmart,POW-SUNSMART-5.5KW-48V,single-phase,5500,6875,500,120,120,450,1,1,18,22,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.,,
PowMr,POW-SunSmart,POW-SUNSMART-5.6KW-48V,single-phase,5600,7000,500,120,120,450,1,1,18,22,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.,,
PowMr,POW-VM,POW-VM5K-III,single-phase,5000,6250,500,120,120,450,1,1,18,22,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.,,
PowMr,POW-MAX,POW-MAX-8KW,single-phase,8000,10000,500,120,120,450,1,1,18,22,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.,,
PowMr,POW-SunSmart LVM,POW-SunSmart LVM12K,split-phase,12000,12000,500,120,120,450,2,1+1,22,27,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.,,
PowMr,SOLXPOW X3,SOLXPOW X3-12K,three-phase,12000,18000,1000,180,160,850,2,2+2,32,40,,150-800,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.,,
PowMr,SOLXPOW X3,SOLXPOW X3-20K,three-phase,20000,30000,1000,180,160,850,2,2+2,32,40,,150-800,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.,,
PowMr,SOLXPOW X4,SOLXPOW X4-50K,three-phase,50000,75000,1000,180,160,850,4,2+2+2+2,32,40,,150-800,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.,,
