brand,series,model,phase,nominal_ac_power_w,max_pv_input_power_w,max_pv_voltage_v,startup_voltage_v,mppt_voltage_min_v,mppt_voltage_max_v,mppt_count,strings_per_mppt,max_input_current_per_mppt_a,max_short_circuit_current_per_mppt_a,battery_nominal_voltage_v,battery_voltage_range_v,data_status,notes
Solis,RHI 1P,RHI-3K-48ES-5G,single-phase,3000,4800,600,90,90,520,2,1+1,14,20,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,RHI 1P,RHI-3.6K-48ES-5G,single-phase,3600,5760,600,90,90,520,2,1+1,14,20,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,RHI 1P,RHI-4.6K-48ES-5G,single-phase,4600,7360,600,90,90,520,2,1+1,14,20,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,RHI 1P,RHI-5K-48ES-5G,single-phase,5000,8000,600,90,90,520,2,1+1,14,20,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,RHI 1P,RHI-6K-48ES-5G,single-phase,6000,9600,600,90,90,520,2,1+1,14,20,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S5 EH1P,S5-EH1P3K-L,single-phase,3000,4800,600,90,90,520,2,1+1,14,20,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S5 EH1P,S5-EH1P3.6K-L,single-phase,3600,5760,600,90,90,520,2,1+1,14,20,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S5 EH1P,S5-EH1P4.6K-L,single-phase,4600,7360,600,90,90,520,2,1+1,14,20,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S5 EH1P,S5-EH1P5K-L,single-phase,5000,8000,600,90,90,520,2,1+1,14,20,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S5 EH1P,S5-EH1P6K-L,single-phase,6000,9600,600,90,90,520,2,1+1,14,20,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S6 EH1P,S6-EH1P3K-L-EU,single-phase,3000,4800,600,90,90,520,2,1+1,14,20,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S6 EH1P,S6-EH1P3.6K-L-EU,single-phase,3600,5760,600,90,90,520,2,1+1,14,20,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S6 EH1P,S6-EH1P4.6K-L-EU,single-phase,4600,7360,600,90,90,520,2,1+1,14,20,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
Solis,S6 EH1P,S6-EH1P5K-L-EU,single-phase,5000,8000,600,90,90,520,2,1+1,14,20,48,40-60,seed_verify_datasheet,Starter datasheet values filled for calculator MPPT checks; verify exact manufacturer PDF before final commercial design.
