brand,series,model,power_stc_w,vmp_stc_v,imp_stc_a,voc_stc_v,isc_stc_a,temp_coeff_pmax_pct_c,temp_coeff_voc_pct_c,temp_coeff_isc_pct_c,module_length_mm,module_width_mm,module_depth_mm,data_status,notes,image_url,image_source_url
Jinko,Tiger Neo N-type 78HL4-BDV,JKM625N-78HL4-BDV,625,47.54,13.15,56.95,13.80,-0.29,-0.25,0.045,2465,1134,30,seed_verify_datasheet,High power extension; source Jinko Tiger Neo 78HL4-BDV 625-650W datasheet listing.,,
Jinko,Tiger Neo N-type 78HL4-BDV,JKM630N-78HL4-BDV,630,47.70,13.21,57.08,13.86,-0.29,-0.25,0.045,2465,1134,30,seed_verify_datasheet,High power extension; source Jinko Tiger Neo 78HL4-BDV 625-650W datasheet listing.,,
Jinko,Tiger Neo N-type 78HL4-BDV,JKM635N-78HL4-BDV,635,47.86,13.27,57.21,13.92,-0.29,-0.25,0.045,2465,1134,30,seed_verify_datasheet,High power extension; source Jinko Tiger Neo 78HL4-BDV 625-650W datasheet listing.,,
Jinko,Tiger Neo N-type 78HL4-BDV,JKM640N-78HL4-BDV,640,48.02,13.33,57.34,13.98,-0.29,-0.25,0.045,2465,1134,30,seed_verify_datasheet,High power extension; source Jinko Tiger Neo 78HL4-BDV 625-650W datasheet listing.,,
Jinko,Tiger Neo N-type 78HL4-BDV,JKM645N-78HL4-BDV,645,48.17,13.39,57.47,14.04,-0.29,-0.25,0.045,2465,1134,30,seed_verify_datasheet,High power extension; source Jinko Tiger Neo 78HL4-BDV 625-650W datasheet listing.,,
Jinko,Tiger Neo N-type 78HL4-BDV,JKM650N-78HL4-BDV,650,48.33,13.45,57.60,14.10,-0.29,-0.25,0.045,2465,1134,30,seed_verify_datasheet,High power extension; source Jinko Tiger Neo 78HL4-BDV 625-650W datasheet listing.,,
LONGi,Hi-MO 9,LR7-72HYD-635M,635,44.36,14.32,53.50,15.01,-0.26,-0.20,0.05,2382,1134,30,manufacturer_page_verified,High power extension; source LONGi Hi-MO 9 LR7-72HYD 635-660M product page.,,
LONGi,Hi-MO 9,LR7-72HYD-640M,640,44.46,14.40,53.60,15.09,-0.26,-0.20,0.05,2382,1134,30,manufacturer_page_verified,High power extension; source LONGi Hi-MO 9 LR7-72HYD 635-660M product page.,,
LONGi,Hi-MO 9,LR7-72HYD-645M,645,44.56,14.48,53.70,15.17,-0.26,-0.20,0.05,2382,1134,30,manufacturer_page_verified,High power extension; source LONGi Hi-MO 9 LR7-72HYD 635-660M product page.,,
LONGi,Hi-MO 9,LR7-72HYD-650M,650,44.65,14.56,53.80,15.25,-0.26,-0.20,0.05,2382,1134,30,manufacturer_page_verified,High power extension; source LONGi Hi-MO 9 LR7-72HYD 635-660M product page.,,
