brand,series,model,power_stc_w,vmp_stc_v,imp_stc_a,voc_stc_v,isc_stc_a,temp_coeff_pmax_pct_c,temp_coeff_voc_pct_c,temp_coeff_isc_pct_c,module_length_mm,module_width_mm,module_depth_mm,data_status,notes
Trina,Vertex S+,TSM-NEG9R.25-430,430,,,,,,,,1762,1134,30,dimension_series_filled,Panel catalog model; datasheet parameters pending. Dimensions filled by module series size for layout; verify full datasheet before final commercial design.
Trina,Vertex S+,TSM-NEG9R.25-435,435,,,,,,,,1762,1134,30,dimension_series_filled,Panel catalog model; datasheet parameters pending. Dimensions filled by module series size for layout; verify full datasheet before final commercial design.
Trina,Vertex S+,TSM-NEG9R.25-440,440,,,,,,,,1762,1134,30,dimension_series_filled,Panel catalog model; datasheet parameters pending. Dimensions filled by module series size for layout; verify full datasheet before final commercial design.
Trina,Vertex N,TSM-NEG18R.28-500,500,,,,,,,,1961,1134,30,dimension_series_filled,Panel catalog model; datasheet parameters pending. Dimensions filled by module series size for layout; verify full datasheet before final commercial design.
Trina,Vertex N,TSM-NEG18R.28-505,505,,,,,,,,1961,1134,30,dimension_series_filled,Panel catalog model; datasheet parameters pending. Dimensions filled by module series size for layout; verify full datasheet before final commercial design.
Trina,Vertex N,TSM-NEG18R.28-510,510,,,,,,,,1961,1134,30,dimension_series_filled,Panel catalog model; datasheet parameters pending. Dimensions filled by module series size for layout; verify full datasheet before final commercial design.
Trina,Vertex N,TSM-NEG19RC.20-575,575,,,,,,,,2384,1134,30,dimension_series_filled,Panel catalog model; datasheet parameters pending. Dimensions filled by module series size for layout; verify full datasheet before final commercial design.
Trina,Vertex N,TSM-NEG19RC.20-580,580,,,,,,,,2384,1134,30,dimension_series_filled,Panel catalog model; datasheet parameters pending. Dimensions filled by module series size for layout; verify full datasheet before final commercial design.
Trina,Vertex N,TSM-NEG19RC.20-585,585,,,,,,,,2384,1134,30,dimension_series_filled,Panel catalog model; datasheet parameters pending. Dimensions filled by module series size for layout; verify full datasheet before final commercial design.
Trina,Vertex N,TSM-NEG21C.20-700,700,,,,,,,,2384,1303,33,dimension_series_filled,Panel catalog model; datasheet parameters pending. Dimensions filled by module series size for layout; verify full datasheet before final commercial design.
Trina,Vertex N,TSM-NEG21C.20-705,705,,,,,,,,2384,1303,33,dimension_series_filled,Panel catalog model; datasheet parameters pending. Dimensions filled by module series size for layout; verify full datasheet before final commercial design.
Trina,Vertex N,TSM-NEG21C.20-710,710,,,,,,,,2384,1303,33,dimension_series_filled,Panel catalog model; datasheet parameters pending. Dimensions filled by module series size for layout; verify full datasheet before final commercial design.
